BaseFileName,ObjectType,PowerBIObjectType,IsRelevant,Relevance,relevant_field
SO,Search Object,Slicer,TRUE,Alignment,SearchObjectProperties_Frame_Rect_Top
SO,Search Object,Slicer,TRUE,Size,SearchObjectProperties_Frame_Rect_Width
SO,Search Object,Slicer,TRUE,Size,SearchObjectProperties_Frame_Rect_Height
SO,Search Object,Slicer,TRUE,Dimension,SearchObjectProperties_Fields_FieldDefEx[0]_Name
SO,Search Object,Slicer,TRUE,Dimension,SearchObjectProperties_Fields_FieldDefEx[1]_Name
SO,Search Object,Slicer,TRUE,Dimension,SearchObjectProperties_Fields_FieldDefEx[2]_Name
SO,Search Object,Slicer,TRUE,Dimension,SearchObjectProperties_Fields_FieldDefEx[3]_Name
SO,Search Object,Slicer,TRUE,Dimension,SearchObjectProperties_Fields_FieldDefEx[4]_Name
SO,Search Object,Slicer,TRUE,Dimension,SearchObjectProperties_Fields_FieldDefEx[5]_Name
SO,Search Object,Slicer,TRUE,Dimension,SearchObjectProperties_Fields_FieldDefEx[6]_Name
SO,Search Object,Slicer,TRUE,Dimension,SearchObjectProperties_Fields_FieldDefEx[7]_Name
SO,Search Object,Slicer,TRUE,Dimension,SearchObjectProperties_Fields_FieldDefEx[8]_Name
SO,Search Object,Slicer,TRUE,Dimension,SearchObjectProperties_Fields_FieldDefEx[9]_Name
SO,Search Object,Slicer,TRUE,Dimension,SearchObjectProperties_Fields_FieldDefEx[10]_Name
TB,Table Box,Table,TRUE,Title Text,TableBoxProperties_Layout_Frame_Name_v
TB,Table Box,Table,TRUE,Alignment,TableBoxProperties_Layout_Frame_Rect_Left
TB,Table Box,Table,TRUE,Alignment,TableBoxProperties_Layout_Frame_Rect_Top
TB,Table Box,Table,TRUE,Size,TableBoxProperties_Layout_Frame_Rect_Width
TB,Table Box,Table,TRUE,Size,TableBoxProperties_Layout_Frame_Rect_Height
TB,Table Box,Table,TRUE,Field,TableBoxProperties_Layout_ColLayouts_LTableColLayout[0]_Field_Name
TB,Table Box,Table,TRUE,Field,TableBoxProperties_Layout_ColLayouts_LTableColLayout[1]_Field_Name
TB,Table Box,Table,TRUE,Field,TableBoxProperties_Layout_ColLayouts_LTableColLayout[2]_Field_Name
TB,Table Box,Table,TRUE,Field,TableBoxProperties_Layout_ColLayouts_LTableColLayout[3]_Field_Name
TB,Table Box,Table,TRUE,Field,TableBoxProperties_Layout_ColLayouts_LTableColLayout[4]_Field_Name
TX,Text Object,Text Box,TRUE,Alignment,TextObjectProperties_Layout_Frame_Rect_Left
TX,Text Object,Text Box,TRUE,Alignment,TextObjectProperties_Layout_Frame_Rect_Top
TX,Text Object,Text Box,TRUE,Size,TextObjectProperties_Layout_Frame_Rect_Width
TX,Text Object,Text Box,TRUE,Size,TextObjectProperties_Layout_Frame_Rect_Height
TX,Text Object,Text Box,TRUE,Text / DAX Measure,TextObjectProperties_Layout_Frame_Text_v
